,district,urban_rural,household,iron_sheet,tiles,concrete,asbestos,grass,makuti,No_Tin,mud_dung,others,county,province
135,LAGDERA,Rural,35521,5886,118,92,959,25810,1373,416,505,362,Garissa,NORTH EASTERN
136,FAFI,Rural,15570,2773,132,37,553,11230,254,206,50,335,Garissa,NORTH EASTERN
137,IJARA,Rural,10701,949,38,4,41,9564,24,7,6,68,Garissa,NORTH EASTERN
138,WAJIR SOUTH,Rural,17029,1162,59,3,133,15496,42,15,61,58,Wajir,NORTH EASTERN
139,WAJIR NORTH,Rural,17567,2232,80,6,51,14819,250,16,47,66,Wajir,NORTH EASTERN
140,WAJIR EAST,Rural,18412,164,38,0,19,18117,38,17,5,14,Wajir,NORTH EASTERN
141,WAJIR WEST,Rural,20678,419,44,12,91,18713,1305,45,9,40,Wajir,NORTH EASTERN
142,MANDERA CENTRAL,Rural,42010,1828,385,13,83,32626,6720,28,81,246,Mandera,NORTH EASTERN
143,MANDERA EAST,Rural,25890,156,35,19,17,7499,17519,21,10,614,Mandera,NORTH EASTERN
144,MANDERA WEST,Rural,34273,2676,97,10,204,28217,2897,46,101,25,Mandera,NORTH EASTERN
145,SIAYA,Urban,10216,8980,104,59,279,695,4,75,15,5,Siaya,NYANZA
146,BONDO,Urban,11169,9884,118,12,27,1086,25,13,2,2,Siaya,NYANZA
147,RARIEDA,Urban,855,769,5,1,1,77,0,0,2,0,Siaya,NYANZA
148,KISUMU EAST,Urban,96923,85618,2917,2259,3630,2129,45,189,60,76,Kisumu,NYANZA
149,KISUMU WEST,Urban,1384,1248,50,16,61,5,0,1,1,2,Kisumu,NYANZA
150,NYANDO,Urban,25769,21974,324,39,798,2500,19,101,8,6,Kisumu,NYANZA
151,HOMABAY,Urban,13796,12767,177,16,180,630,9,11,3,3,Homa Bay,NYANZA
152,SUBA,Urban,4915,4701,29,6,150,22,2,3,2,0,Homa Bay,NYANZA
153,RACHUONYO,Urban,13465,12421,69,40,529,370,10,6,18,2,Homa Bay,NYANZA
154,MIGORI,Urban,18545,17244,172,85,399,590,23,11,19,2,Migori,NYANZA
155,RONGO,Urban,40964,37430,266,42,1008,2110,37,30,31,10,Migori,NYANZA
156,KURIA WEST,Urban,6734,6120,39,50,220,283,0,13,8,1,Migori,NYANZA
157,KURIA EAST,Urban,0,0,0,0,0,0,0,0,0,0,Migori,NYANZA
158,KISII CENTRAL,Urban,20581,18115,252,1266,444,279,25,152,23,25,Kisii,NYANZA
159,KISII SOUTH,Urban,12665,11383,78,94,403,656,29,14,7,1,Kisii,NYANZA
160,MASABA,Urban,19665,16161,112,60,998,2300,17,7,10,0,Kisii,NYANZA
161,GUCHA,Urban,6197,5483,16,66,332,291,2,6,1,0,Kisii,NYANZA
162,GUCHA SOUTH,Urban,2814,2551,12,20,40,176,12,1,2,0,Kisii,NYANZA
163,NYAMIRA,Urban,13865,12904,93,123,294,417,10,6,16,2,Nyamira,NYANZA
164,MANGA,Urban,0,0,0,0,0,0,0,0,0,0,Nyamira,NYANZA
165,BORABU,Urban,1535,1458,20,28,22,1,0,6,0,0,Nyamira,NYANZA
166,SIAYA,Rural,120280,70340,680,83,999,47962,132,30,29,25,Siaya,NYANZA
167,BONDO,Rural,25967,19256,138,27,378,6069,16,62,12,9,Siaya,NYANZA
168,RARIEDA,Rural,30177,21705,179,16,177,7910,23,143,9,15,Siaya,NYANZA
169,KISUMU EAST,Rural,18026,15548,99,21,254,2033,12,42,4,13,Kisumu,NYANZA
170,KISUMU WEST,Rural,31607,24322,144,12,338,6705,47,8,10,21,Kisumu,NYANZA
171,NYANDO,Rural,52428,43656,307,23,994,7143,108,146,25,26,Kisumu,NYANZA
172,HOMABAY,Rural,65629,48604,304,24,976,15380,118,182,22,19,Homa Bay,NYANZA
173,SUBA,Rural,40390,30371,181,18,528,9033,65,175,13,6,Homa Bay,NYANZA
174,RACHUONYO,Rural,67913,60673,384,27,926,5746,55,69,20,13,Homa Bay,NYANZA
175,MIGORI,Rural,51904,32895,303,14,1064,17465,79,58,12,14,Migori,NYANZA
176,RONGO,Rural,26875,22065,154,9,622,3978,22,3,6,16,Migori,NYANZA
177,KURIA WEST,Rural,21496,13762,85,5,559,7024,8,42,7,4,Migori,NYANZA
178,KURIA EAST,Rural,13452,7016,79,6,469,5862,6,8,3,3,Migori,NYANZA
179,KISII CENTRAL,Rural,60728,52854,339,64,1715,5416,117,181,38,4,Kisii,NYANZA
180,KISII SOUTH,Rural,11328,9649,42,5,230,1384,14,2,0,2,Kisii,NYANZA
181,MASABA,Rural,31116,25635,197,9,930,4205,26,103,9,2,Kisii,NYANZA
182,GUCHA,Rural,75331,60501,406,61,2450,11394,176,311,21,11,Kisii,NYANZA
183,GUCHA SOUTH,Rural,29029,23124,150,24,1056,4537,25,96,13,4,Kisii,NYANZA
184,NYAMIRA,Rural,56023,51264,288,42,814,3545,48,10,8,4,Nyamira,NYANZA
185,MANGA,Rural,19270,17130,141,11,317,1584,77,5,2,3,Nyamira,NYANZA
186,BORABU,Rural,15372,13618,359,14,346,1014,13,3,4,1,Nyamira,NYANZA
187,TURKANA CENTRAL,Urban,9808,5036,31,11,318,399,3284,6,15,708,Turkana,RIFT VALLEY
188,TURKANA NORTH,Urban,13211,5797,69,4,436,2902,2696,448,20,839,Turkana,RIFT VALLEY
189,TURKANA SOUTH,Urban,0,0,0,0,0,0,0,0,0,0,Turkana,RIFT VALLEY
190,WEST POKOT,Urban,9053,7142,167,6,99,1606,10,9,7,7,West Pokot,RIFT VALLEY
191,POKOT NORTH,Urban,0,0,0,0,0,0,0,0,0,0,West Pokot,RIFT VALLEY
192,POKOT CENTRAL,Urban,0,0,0,0,0,0,0,0,0,0,West Pokot,RIFT VALLEY
193,SAMBURU CENTRAL,Urban,4520,4147,20,0,129,75,12,38,93,6,Samburu,RIFT VALLEY
194,SAMBURU EAST,Urban,2787,1702,5,3,26,52,194,122,250,433,Samburu,RIFT VALLEY
195,SAMBURU NORTH,Urban,1624,750,4,1,5,157,101,128,353,125,Samburu,RIFT VALLEY
196,TRANS NZOIA WEST,Urban,36906,33718,770,221,1635,394,15,25,34,94,Trans Nzoia,RIFT VALLEY
197,TRANS NZOIA EAST,Urban,0,0,0,0,0,0,0,0,0,0,Trans Nzoia,RIFT VALLEY
198,KWANZA,Urban,4116,3766,16,0,5,321,2,4,2,0,Trans Nzoia,RIFT VALLEY
199,BARINGO,Urban,7626,6685,199,24,385,318,4,7,2,2,Baringo,RIFT VALLEY
200,BARINGO NORTH,Urban,0,0,0,0,0,0,0,0,0,0,Baringo,RIFT VALLEY
201,EAST POKOT,Urban,0,0,0,0,0,0,0,0,0,0,Baringo,RIFT VALLEY
202,KOIBATEK,Urban,8041,7357,159,61,343,50,5,31,10,25,Baringo,RIFT VALLEY
203,ELDORET WEST,Urban,41548,37180,1547,641,1825,117,10,154,28,46,Uasin Gishu,RIFT VALLEY
204,ELDORET EAST,Urban,20206,16319,2599,173,834,76,20,111,8,66,Uasin Gishu,RIFT VALLEY
205,WARENG,Urban,34087,30811,1210,237,702,311,7,14,28,767,Uasin Gishu,RIFT VALLEY
206,MARAKWET,Urban,1903,1832,5,6,4,40,0,16,0,0,Elgeyo Marakwet,RIFT VALLEY
207,KEIYO,Urban,9688,7226,190,33,105,2116,11,6,1,0,Elgeyo Marakwet,RIFT VALLEY
208,NANDI NORTH,Urban,975,915,2,1,27,22,1,6,0,1,Nandi,RIFT VALLEY
209,NANDI CENTRAL,Urban,19729,18475,339,40,257,527,8,65,8,10,Nandi,RIFT VALLEY
210,NANDI EAST,Urban,2742,2684,33,8,4,5,8,0,0,0,Nandi,RIFT VALLEY
211,NANDI SOUTH,Urban,0,0,0,0,0,0,0,0,0,0,Nandi,RIFT VALLEY
212,TINDERET,Urban,0,0,0,0,0,0,0,0,0,0,Nandi,RIFT VALLEY
213,LAIKIPIA NORTH,Urban,373,268,1,0,76,23,4,0,0,1,Laikipia,RIFT VALLEY
214,LAIKIPIA EAST,Urban,14155,11448,677,892,455,66,25,585,1,6,Laikipia,RIFT VALLEY
215,LAIKIPIA WEST,Urban,14731,12735,348,519,621,460,19,14,13,2,Laikipia,RIFT VALLEY
216,NAKURU,Urban,96079,83080,4903,2390,4895,128,38,563,55,27,Nakuru,RIFT VALLEY
217,NAKURU NORTH,Urban,19273,18586,258,75,282,17,11,6,34,4,Nakuru,RIFT VALLEY
218,NAIVASHA,Urban,68527,63386,1314,842,2394,302,30,136,35,88,Nakuru,RIFT VALLEY
219,MOLO,Urban,29165,27427,320,144,731,210,10,100,6,217,Nakuru,RIFT VALLEY
220,NAROK NORTH,Urban,12897,12339,93,99,245,5,9,72,24,11,Narok,RIFT VALLEY
221,NAROK SOUTH,Urban,0,0,0,0,0,0,0,0,0,0,Narok,RIFT VALLEY
222,TRANS MARA,Urban,3580,3127,25,5,141,220,17,41,3,1,Narok,RIFT VALLEY
223,KAJIADO CENTRAL,Urban,9047,8239,150,27,350,39,7,19,197,19,Kajiado,RIFT VALLEY
224,LOITOKITOK,Urban,4129,3761,51,23,200,41,6,5,0,42,Kajiado,RIFT VALLEY
225,KERICHO,Urban,32068,29300,463,309,628,1085,22,181,13,67,Kericho,RIFT VALLEY
226,KIPKELION,Urban,18625,15938,125,12,93,2353,31,43,0,30,Kericho,RIFT VALLEY
227,BURET,Urban,5515,5255,38,9,84,116,9,1,2,1,Bomet,RIFT VALLEY
228,SOTIK,Urban,2299,2181,6,58,21,29,1,1,2,0,Bomet,RIFT VALLEY
229,BOMET,Urban,19238,14313,131,134,228,4301,66,14,44,7,Bomet,RIFT VALLEY
230,KAJIADO NORTH,Urban,73655,60126,4595,5310,2958,88,55,211,223,89,Kajiado,RIFT VALLEY
231,TURKANA CENTRAL,Rural,31129,861,61,9,117,4221,18853,105,22,6880,Turkana,RIFT VALLEY
232,TURKANA NORTH,Rural,40350,1408,186,5,272,26211,5414,1169,51,5634,Turkana,RIFT VALLEY
233,TURKANA SOUTH,Rural,28437,3823,109,24,304,8637,13358,52,87,2043,Turkana,RIFT VALLEY
234,WEST POKOT,Rural,26187,8183,112,7,331,17324,57,14,149,10,West Pokot,RIFT VALLEY
235,POKOT NORTH,Rural,25961,1924,102,10,106,18258,59,23,5391,88,West Pokot,RIFT VALLEY
236,POKOT CENTRAL,Rural,32548,6207,134,9,203,25645,113,7,192,38,West Pokot,RIFT VALLEY
237,SAMBURU CENTRAL,Rural,18296,3104,109,20,175,2099,1337,21,10360,1071,Samburu,RIFT VALLEY
238,SAMBURU EAST,Rural,9955,473,198,5,73,868,1838,502,4741,1257,Samburu,RIFT VALLEY
239,SAMBURU NORTH,Rural,10049,571,13,3,31,2006,2094,341,2169,2821,Samburu,RIFT VALLEY
240,TRANS NZOIA WEST,Rural,47029,38403,394,31,1378,6225,61,33,10,494,Trans Nzoia,RIFT VALLEY
241,TRANS NZOIA EAST,Rural,39068,34163,214,20,735,3707,44,116,18,51,Trans Nzoia,RIFT VALLEY
242,KWANZA,Rural,42513,28354,327,14,1083,12332,158,21,19,205,Trans Nzoia,RIFT VALLEY
243,BARINGO,Rural,27301,18189,247,16,268,8462,37,39,14,29,Baringo,RIFT VALLEY
244,BARINGO NORTH,Rural,19730,10500,179,9,254,8716,23,26,11,12,Baringo,RIFT VALLEY
245,EAST POKOT,Rural,21289,1632,88,8,43,19345,99,13,23,38,Baringo,RIFT VALLEY
246,KOIBATEK,Rural,26439,19681,237,9,304,5969,55,16,8,160,Baringo,RIFT VALLEY
247,ELDORET WEST,Rural,47150,38698,439,68,518,7256,27,76,37,31,Uasin Gishu,RIFT VALLEY
248,ELDORET EAST,Rural,30858,24258,281,28,561,5126,37,12,12,543,Uasin Gishu,RIFT VALLEY
249,WARENG,Rural,27767,22977,356,3,648,2727,70,35,1,950,Uasin Gishu,RIFT VALLEY
250,MARAKWET,Rural,37581,16257,291,15,301,20090,98,75,49,405,Elgeyo Marakwet,RIFT VALLEY
